id,nomJaponais,nomAnglais,description,image,extraImages
04,手袋2組,Pairs of gloves,"手袋4組です。青い手袋は園芸で使用しましたが、グレーのものは未使用です。
A few pairs of gloves. The blue ones were used for gardening, and the grey ones have never been used.",IMG_3595.JPG,"IMG_3596.JPG, IMG_3597.JPG"
05,傘,Umbrellas,"大きめの傘が1本あります。白は60cmです。
1 Large umbrellas. The white one is 60 cm.",IMG_3617.JPG,IMG_3618.JPG
06,靴ブラシ,Shoe brush,"水を入れられる靴ブラシです。ブラッシングしながら簡単に濡らせます。
Shoe brush with a water container, allowing you to wet the surface easily while brushing.",IMG_3619.JPG,"IMG_3620.JPG, IMG_3621.JPG"
10,お皿,Plates,"お皿が二枚あります。1年間使用したため、多少の傷があります。
2 plates. There are some scratches because we used them for the past year.",IMG_3614.JPG,"IMG_3613.JPG, IMG_3615.JPG"
11,ボウル,Bowls,"ボウルが二杯あります。1年間使用したため、多少の傷があります。
2 bowls. There are some scratches because we used them for the past year.",IMG_3583.JPG,"IMG_3584.JPG, IMG_3585.JPG"
12,小さいボウル,Small bowls,"ボウルが二杯あります。1年間使用したため、多少の傷があります。
2 bowls. There are some scratches because we used them for the past year.",IMG_3580.JPG,"IMG_3581.JPG, IMG_3582.JPG"
13,ザルセット,Colander set,"便利です。
Handy.",IMG_3586.JPG,"IMG_3587.JPG, IMG_3588.JPG"
18,缶,Steel box,"フランスで購入したビスケット用のブリキ缶です。
A box from the place I lived in France, originally used for French biscuits.",IMG_3660.JPG,"IMG_3661.JPG, IMG_3662.JPG"
19,タオル,Towels,"ハンドタオルが二枚あります。
2 Hand towels",IMG_3675.JPG,"IMG_3676.JPG, IMG_3677.JPG"
20,ふきん,Tea towels,"ふきんが三枚あります。
3 Tea towels",IMG_3941.JPG,IMG_3942.JPG
21,籠,Basket,"籠です。サイズ：45×30×25cm。
Basket, 45 lenght x 30 large x 25 depth cm",IMG_3624.JPG,"IMG_3625.JPG, IMG_3626.JPG"
22,3mのカーテンポール,3m curtain rod,"伸縮式のカーテンポールです。壁に突っ張るタイプで、穴あけ不要です。
130cm〜320cmまで調整可能。耐荷重：最短時 約30kg、最長時 約10kg。
Pressure-mounted between walls, no drilling required.
Adjustable from 130 cm to 320 cm. Supports up to 30 kg at the shortest length and up to 10 kg at the maximum length.",IMG_3648.JPG,"IMG_3647.JPG, IMG_3646.JPG, IMG_3649.JPG"
23,グレーの大きいカーテン一組,Pair of large grey curtains,"[22] のカーテンポールで使用していました。1枚あたり：高さ210cm × 幅150cm。
遮光・遮熱性がとても高いです。
Used with item [22 - 3m curtain rod]. Each curtain is 210cm height and 150cm wide.
Blocks light and heat very well !",IMG_3650.JPG,"IMG_3649.JPG, IMG_3648.JPG, IMG_3651.JPG"
24,緑のカーテン一組,Pair of green curtains,"1枚あたり：高さ120cm × 幅100cm。
遮光・遮熱性がとても高いです。
Each curtain is 120 cm high x 100 cm wide.
Blocks light and heat very well !",IMG_3665.JPG,"IMG_3663.JPG, IMG_3666.JPG"
27,マットレス,Mattress,"マットレスです。サイズ：195×120×20cm。
1年間使用しましたが、状態はとても良いです。
Mattress, 195 cm length × 120 cm width × 20 cm thickness.
Used for one year, still in very good condition.",IMG_bed.JPG,
28,寝具,Bed sheets,"寝具一式です。
枕＋枕カバー、掛け布団＋カバー、敷きシーツが含まれます。
シングル布団サイズです。
Includes: one pillow and pillowcase, one duvet and duvet cover, and one sheet.
Suitable for a single futon.",IMG_3678.JPG,IMG_3679.JPG
29,寝具,Bed sheets,"寝具一式です。
枕＋枕カバー、掛け布団＋カバー、敷きシーツが含まれます。
シングル布団サイズです。
Includes: one pillow and pillowcase, one duvet and duvet cover, and one sheet.
Suitable for a single futon.",IMG_3678.JPG,IMG_3679.JPG
34,グレーのカーテン一組,Pair of grey curtains,"1枚あたり：高さ220cm × 幅100cm。
遮光・遮熱性がとても高いです。
Each curtain is 220 cm high x 100 cm wide.
Blocks light and heat very well !",IMG_3667.JPG,"IMG_3668.JPG, IMG_3669.JPG"
36,小さなトレイ,Small tray,"小さなトレイです。サイズ：24×18×15cm。
Small tray, 24 cm length × 18 cm width × 15 cm depth.",IMG_3657.JPG,"IMG_3658.JPG, IMG_3659.JPG"
37,カーテンレール,Curtain rod,"壁に突っ張って設置するタイプで、穴あけは不要です。
約70cm〜130cmまで調整可能です。
Pressure-mounted between walls, no drilling required.
Adjustable from about 70 cm to 130 cm.",IMG_3637.JPG,"IMG_3643.JPG, IMG_3644.JPG"
38,ベージュのカーテン,Beige curtain,"カーテンのサイズは高さ220cm × 幅100cmです。
遮熱性があります。
The curtain is 220 cm high x 100 cm wide.
Blocks heat well.",IMG_3636.JPG,"IMG_3644.JPG, IMG_3645.JPG"
42,水切りラック,Dish rack,"水切りマット付き食器ラック。3つ折りにして収納スペースを節約できます。
Dish rack with a draining mat that can be fold in 3 to take less space.",IMG_3607.JPG,"IMG_3616.JPG, IMG_3608.JPG, IMG_3609.JPG, IMG_3610.JPG"
